orderID,year,offence_type,offence_group,gender,source,target,value
1,2014,Juveniles,09 Miscellaneous crimes against society,3 Unknown,All offenders,First time offenders,3
1,2013,Adults,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,153
1,2018,Juveniles,08 Public order offences,3 Unknown,All offenders,First time offenders,1
1,2010,Adults,06 Drug offences,3 Unknown,All offenders,First time offenders,37
1,2015,Juveniles,10 Fraud offences,3 Unknown,All offenders,First time offenders,3
1,2011,Adults,02 Sexual offences,2 Female,All offenders,First time offenders,52
1,2019,Adults,03 Robbery,2 Female,All offenders,First time offenders,21
1,2017,Juveniles,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,5
1,2014,Adults,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,123
1,2019,Juveniles,10 Fraud offences,1 Male,All offenders,First time offenders,39
1,2011,Juveniles,03 Robbery,2 Female,All offenders,First time offenders,149
1,2010,Adults,07 Possession of weapons,1 Male,All offenders,First time offenders,2964
1,2020,Juveniles,03 Robbery,3 Unknown,All offenders,First time offenders,7
1,2018,Adults,03 Robbery,1 Male,All offenders,First time offenders,185
1,2012,Juveniles,10 Fraud offences,3 Unknown,All offenders,First time offenders,2
1,2013,Juveniles,09 Miscellaneous crimes against society,3 Unknown,All offenders,First time offenders,6
1,2010,Juveniles,03 Robbery,2 Female,All offenders,First time offenders,122
1,2016,Juveniles,09 Miscellaneous crimes against society,3 Unknown,All offenders,First time offenders,1
1,2016,Juveniles,01 Violence against the person,1 Male,All offenders,First time offenders,1104
1,2012,Adults,04 Theft Offences,2 Female,All offenders,First time offenders,7791
1,2010,Adults,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,15563
1,2012,Adults,02 Sexual offences,2 Female,All offenders,First time offenders,51
1,2017,Juveniles,02 Sexual offences,2 Female,All offenders,First time offenders,7
1,2011,Adults,01 Violence against the person,2 Female,All offenders,First time offenders,2737
1,2015,Juveniles,20 Unknown,1 Male,All offenders,First time offenders,2
1,2010,Juveniles,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,247
1,2019,Adults,01 Violence against the person,3 Unknown,All offenders,First time offenders,95
1,2019,Adults,08 Public order offences,1 Male,All offenders,First time offenders,1250
1,2019,Juveniles,03 Robbery,3 Unknown,All offenders,First time offenders,7
1,2016,Juveniles,02 Sexual offences,2 Female,All offenders,First time offenders,5
1,2013,Juveniles,04 Theft Offences,3 Unknown,All offenders,First time offenders,61
1,2010,Adults,04 Theft Offences,2 Female,All offenders,First time offenders,10742
1,2010,Adults,01 Violence against the person,2 Female,All offenders,First time offenders,3134
1,2015,Juveniles,09 Miscellaneous crimes against society,3 Unknown,All offenders,First time offenders,7
1,2020,Adults,20 Unknown,1 Male,All offenders,First time offenders,14
1,2010,Juveniles,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,886
1,2016,Adults,08 Public order offences,1 Male,All offenders,First time offenders,1589
1,2011,Juveniles,05 Criminal damage and arson,1 Male,All offenders,First time offenders,1105
1,2012,Juveniles,04 Theft Offences,3 Unknown,All offenders,First time offenders,39
1,2015,Juveniles,02 Sexual offences,2 Female,All offenders,First time offenders,8
1,2018,Adults,03 Robbery,2 Female,All offenders,First time offenders,18
1,2011,Juveniles,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,866
1,2012,Juveniles,03 Robbery,2 Female,All offenders,First time offenders,131
1,2019,Juveniles,07 Possession of weapons,1 Male,All offenders,First time offenders,1826
1,2011,Juveniles,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,186
1,2011,Juveniles,06 Drug offences,1 Male,All offenders,First time offenders,3870
1,2018,Adults,08 Public order offences,1 Male,All offenders,First time offenders,1354
1,2015,Adults,10 Fraud offences,1 Male,All offenders,First time offenders,2158
1,2020,Adults,12 Summary motoring offences,2 Female,All offenders,First time offenders,5176
1,2019,Juveniles,04 Theft Offences,1 Male,All offenders,First time offenders,1240
1,2015,Juveniles,12 Summary motoring offences,1 Male,All offenders,First time offenders,265
1,2016,Adults,10 Fraud offences,1 Male,All offenders,First time offenders,1994
1,2020,Juveniles,07 Possession of weapons,1 Male,All offenders,First time offenders,1525
1,2019,Adults,06 Drug offences,1 Male,All offenders,First time offenders,8873
1,2012,Juveniles,06 Drug offences,1 Male,All offenders,First time offenders,3453
1,2013,Juveniles,06 Drug offences,2 Female,All offenders,First time offenders,281
1,2019,Adults,20 Unknown,1 Male,All offenders,First time offenders,15
1,2013,Juveniles,05 Criminal damage and arson,1 Male,All offenders,First time offenders,596
1,2010,Juveniles,08 Public order offences,2 Female,All offenders,First time offenders,224
1,2019,Adults,04 Theft Offences,3 Unknown,All offenders,First time offenders,101
1,2020,Juveniles,04 Theft Offences,1 Male,All offenders,First time offenders,894
1,2020,Adults,06 Drug offences,1 Male,All offenders,First time offenders,8234
1,2016,Juveniles,06 Drug offences,2 Female,All offenders,First time offenders,186
1,2017,Adults,04 Theft Offences,3 Unknown,All offenders,First time offenders,122
1,2017,Adults,10 Fraud offences,1 Male,All offenders,First time offenders,1567
1,2013,Juveniles,12 Summary motoring offences,2 Female,All offenders,First time offenders,29
1,2020,Adults,06 Drug offences,2 Female,All offenders,First time offenders,1082
1,2014,Juveniles,05 Criminal damage and arson,1 Male,All offenders,First time offenders,408
1,2018,Adults,04 Theft Offences,3 Unknown,All offenders,First time offenders,128
1,2018,Adults,01 Violence against the person,3 Unknown,All offenders,First time offenders,91
1,2018,Adults,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,4379
1,2014,Juveniles,12 Summary motoring offences,2 Female,All offenders,First time offenders,34
1,2013,Juveniles,01 Violence against the person,1 Male,All offenders,First time offenders,1163
1,2015,Juveniles,06 Drug offences,2 Female,All offenders,First time offenders,224
1,2018,Adults,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,820
1,2018,Juveniles,04 Theft Offences,1 Male,All offenders,First time offenders,1529
1,2017,Adults,01 Violence against the person,3 Unknown,All offenders,First time offenders,88
1,2014,Juveniles,02 Sexual offences,1 Male,All offenders,First time offenders,526
1,2017,Adults,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,436
1,2013,Adults,10 Fraud offences,1 Male,All offenders,First time offenders,2352
1,2016,Adults,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,5532
1,2012,Juveniles,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,136
1,2014,Adults,10 Fraud offences,1 Male,All offenders,First time offenders,2139
1,2018,Juveniles,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,2821
1,2015,Adults,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,391
1,2014,Juveniles,06 Drug offences,2 Female,All offenders,First time offenders,315
1,2017,Juveniles,07 Possession of weapons,1 Male,All offenders,First time offenders,1706
1,2012,Juveniles,05 Criminal damage and arson,1 Male,All offenders,First time offenders,848
1,2018,Juveniles,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,1088
1,2016,Adults,01 Violence against the person,3 Unknown,All offenders,First time offenders,85
1,2011,Adults,04 Theft Offences,1 Male,All offenders,First time offenders,14757
1,2017,Juveniles,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,3525
1,2016,Adults,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,459
1,2018,Juveniles,07 Possession of weapons,1 Male,All offenders,First time offenders,1709
1,2010,Adults,09 Miscellaneous crimes against society,3 Unknown,All offenders,First time offenders,54
1,2016,Adults,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,1078
1,2010,Adults,04 Theft Offences,1 Male,All offenders,First time offenders,15225
1,2017,Juveniles,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,1360
1,2011,Juveniles,04 Theft Offences,3 Unknown,All offenders,First time offenders,48
1,2016,Juveniles,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,4343
1,2019,Adults,10 Fraud offences,3 Unknown,All offenders,First time offenders,59
1,2011,Juveniles,03 Robbery,1 Male,All offenders,First time offenders,1313
1,2013,Adults,06 Drug offences,3 Unknown,All offenders,First time offenders,63
1,2013,Adults,02 Sexual offences,3 Unknown,All offenders,First time offenders,12
1,2014,Juveniles,01 Violence against the person,1 Male,All offenders,First time offenders,1166
1,2012,Adults,01 Violence against the person,2 Female,All offenders,First time offenders,2415
1,2011,Adults,02 Sexual offences,1 Male,All offenders,First time offenders,2558
1,2018,Adults,10 Fraud offences,3 Unknown,All offenders,First time offenders,59
1,2016,Adults,07 Possession of weapons,3 Unknown,All offenders,First time offenders,21
1,2010,Adults,07 Possession of weapons,2 Female,All offenders,First time offenders,624
1,2017,Adults,07 Possession of weapons,3 Unknown,All offenders,First time offenders,14
1,2011,Adults,07 Possession of weapons,2 Female,All offenders,First time offenders,578
1,2010,Adults,02 Sexual offences,1 Male,All offenders,First time offenders,2427
1,2020,Adults,20 Unknown,2 Female,All offenders,First time offenders,1
1,2018,Adults,06 Drug offences,1 Male,All offenders,First time offenders,8079
1,2020,Adults,01 Violence against the person,3 Unknown,All offenders,First time offenders,102
1,2017,Juveniles,06 Drug offences,3 Unknown,All offenders,First time offenders,9
1,2016,Adults,10 Fraud offences,2 Female,All offenders,First time offenders,1229
1,2016,Juveniles,06 Drug offences,3 Unknown,All offenders,First time offenders,26
1,2018,Adults,07 Possession of weapons,3 Unknown,All offenders,First time offenders,24
1,2014,Adults,05 Criminal damage and arson,3 Unknown,All offenders,First time offenders,7
1,2015,Juveniles,01 Violence against the person,1 Male,All offenders,First time offenders,1107
1,2010,Juveniles,03 Robbery,1 Male,All offenders,First time offenders,1058
1,2017,Adults,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,5342
1,2013,Juveniles,06 Drug offences,1 Male,All offenders,First time offenders,2794
1,2018,Adults,11 Summary non-motoring,1 Male,All offenders,First time offenders,1
1,2018,Adults,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,424
1,2020,Juveniles,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,417
1,2017,Adults,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,994
1,2012,Juveniles,05 Criminal damage and arson,2 Female,All offenders,First time offenders,149
1,2019,Juveniles,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,2049
1,2019,Juveniles,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,723
1,2013,Juveniles,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,93
1,2020,Juveniles,05 Criminal damage and arson,3 Unknown,All offenders,First time offenders,4
1,2015,Juveniles,12 Summary motoring offences,2 Female,All offenders,First time offenders,25
1,2017,Juveniles,03 Robbery,3 Unknown,All offenders,First time offenders,2
1,2015,Adults,03 Robbery,1 Male,All offenders,First time offenders,245
1,2014,Juveniles,06 Drug offences,1 Male,All offenders,First time offenders,2420
1,2018,Juveniles,01 Violence against the person,2 Female,All offenders,First time offenders,334
1,2015,Juveniles,02 Sexual offences,1 Male,All offenders,First time offenders,557
1,2017,Adults,11 Summary non-motoring,1 Male,All offenders,First time offenders,1
1,2019,Adults,06 Drug offences,2 Female,All offenders,First time offenders,1079
1,2016,Adults,02 Sexual offences,3 Unknown,All offenders,First time offenders,18
1,2014,Adults,02 Sexual offences,3 Unknown,All offenders,First time offenders,14
1,2014,Adults,06 Drug offences,3 Unknown,All offenders,First time offenders,89
1,2017,Juveniles,01 Violence against the person,2 Female,All offenders,First time offenders,353
1,2016,Juveniles,02 Sexual offences,1 Male,All offenders,First time offenders,527
1,2010,Adults,01 Violence against the person,1 Male,All offenders,First time offenders,6919
1,2020,Adults,10 Fraud offences,3 Unknown,All offenders,First time offenders,24
1,2020,Juveniles,04 Theft Offences,2 Female,All offenders,First time offenders,168
1,2016,Adults,03 Robbery,2 Female,All offenders,First time offenders,15
1,2020,Adults,08 Public order offences,1 Male,All offenders,First time offenders,1051
1,2019,Adults,08 Public order offences,2 Female,All offenders,First time offenders,250
1,2019,Juveniles,06 Drug offences,3 Unknown,All offenders,First time offenders,10
1,2015,Adults,05 Criminal damage and arson,3 Unknown,All offenders,First time offenders,5
1,2014,Juveniles,01 Violence against the person,2 Female,All offenders,First time offenders,379
1,2011,Adults,01 Violence against the person,1 Male,All offenders,First time offenders,5793
1,2020,Adults,04 Theft Offences,3 Unknown,All offenders,First time offenders,71
1,2016,Adults,03 Robbery,1 Male,All offenders,First time offenders,200
1,2019,Juveniles,04 Theft Offences,2 Female,All offenders,First time offenders,285
1,2018,Juveniles,06 Drug offences,3 Unknown,All offenders,First time offenders,20
1,2018,Adults,08 Public order offences,2 Female,All offenders,First time offenders,272
1,2012,Juveniles,12 Summary motoring offences,1 Male,All offenders,First time offenders,236
1,2018,Adults,10 Fraud offences,2 Female,All offenders,First time offenders,850
1,2015,Adults,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,5337
1,2018,Juveniles,02 Sexual offences,2 Female,All offenders,First time offenders,4
1,2016,Adults,05 Criminal damage and arson,3 Unknown,All offenders,First time offenders,11
1,2015,Juveniles,20 Unknown,2 Female,All offenders,First time offenders,2
1,2016,Juveniles,12 Summary motoring offences,2 Female,All offenders,First time offenders,21
1,2010,Juveniles,04 Theft Offences,3 Unknown,All offenders,First time offenders,65
1,2017,Adults,10 Fraud offences,2 Female,All offenders,First time offenders,1078
1,2013,Juveniles,12 Summary motoring offences,1 Male,All offenders,First time offenders,199
1,2011,Adults,04 Theft Offences,2 Female,All offenders,First time offenders,9320
1,2020,Adults,08 Public order offences,2 Female,All offenders,First time offenders,197
1,2015,Juveniles,05 Criminal damage and arson,2 Female,All offenders,First time offenders,79
1,2019,Adults,12 Summary motoring offences,1 Male,All offenders,First time offenders,19039
1,2014,Juveniles,05 Criminal damage and arson,2 Female,All offenders,First time offenders,72
1,2016,Adults,05 Criminal damage and arson,1 Male,All offenders,First time offenders,416
1,2015,Juveniles,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,77
1,2020,Adults,07 Possession of weapons,2 Female,All offenders,First time offenders,220
1,2012,Juveniles,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,1
1,2011,Adults,12 Summary motoring offences,1 Male,All offenders,First time offenders,21503
1,2011,Juveniles,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,1
1,2017,Juveniles,03 Robbery,2 Female,All offenders,First time offenders,31
1,2018,Adults,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,8709
1,2015,Adults,05 Criminal damage and arson,1 Male,All offenders,First time offenders,477
1,2018,Juveniles,02 Sexual offences,3 Unknown,All offenders,First time offenders,5
1,2019,Adults,07 Possession of weapons,2 Female,All offenders,First time offenders,266
1,2019,Adults,01 Violence against the person,2 Female,All offenders,First time offenders,2361
1,2012,Juveniles,10 Fraud offences,1 Male,All offenders,First time offenders,122
1,2019,Adults,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,7290
1,2010,Adults,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,1991
1,2011,Adults,01 Violence against the person,3 Unknown,All offenders,First time offenders,62
1,2020,Juveniles,06 Drug offences,1 Male,All offenders,First time offenders,1110
1,2018,Adults,07 Possession of weapons,2 Female,All offenders,First time offenders,288
1,2020,Adults,02 Sexual offences,2 Female,All offenders,First time offenders,35
1,2014,Juveniles,04 Theft Offences,2 Female,All offenders,First time offenders,1263
1,2011,Adults,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,1669
1,2016,Adults,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,11013
1,2017,Adults,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,9625
1,2014,Juveniles,10 Fraud offences,1 Male,All offenders,First time offenders,87
1,2010,Juveniles,07 Possession of weapons,2 Female,All offenders,First time offenders,146
1,2010,Adults,01 Violence against the person,3 Unknown,All offenders,First time offenders,54
1,2015,Adults,12 Summary motoring offences,2 Female,All offenders,First time offenders,5708
1,2012,Juveniles,07 Possession of weapons,1 Male,All offenders,First time offenders,957
1,2020,Adults,06 Drug offences,3 Unknown,All offenders,First time offenders,125
1,2018,Juveniles,03 Robbery,2 Female,All offenders,First time offenders,15
1,2019,Adults,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,390
1,2013,Juveniles,07 Possession of weapons,2 Female,All offenders,First time offenders,106
1,2015,Juveniles,02 Sexual offences,3 Unknown,All offenders,First time offenders,5
1,2016,Adults,01 Violence against the person,1 Male,All offenders,First time offenders,4606
1,2010,Adults,20 Unknown,1 Male,All offenders,First time offenders,2
1,2015,Adults,05 Criminal damage and arson,2 Female,All offenders,First time offenders,156
1,2019,Juveniles,03 Robbery,2 Female,All offenders,First time offenders,36
1,2013,Juveniles,07 Possession of weapons,3 Unknown,All offenders,First time offenders,5
1,2010,Juveniles,04 Theft Offences,1 Male,All offenders,First time offenders,8525
1,2017,Adults,01 Violence against the person,1 Male,All offenders,First time offenders,4352
1,2011,Adults,20 Unknown,1 Male,All offenders,First time offenders,3
1,2015,Juveniles,05 Criminal damage and arson,3 Unknown,All offenders,First time offenders,6
1,2019,Adults,06 Drug offences,3 Unknown,All offenders,First time offenders,146
1,2014,Juveniles,10 Fraud offences,2 Female,All offenders,First time offenders,44
1,2010,Adults,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,385
1,2017,Adults,02 Sexual offences,1 Male,All offenders,First time offenders,2945
1,2018,Adults,07 Possession of weapons,1 Male,All offenders,First time offenders,2155
1,2014,Juveniles,01 Violence against the person,3 Unknown,All offenders,First time offenders,13
1,2015,Juveniles,08 Public order offences,2 Female,All offenders,First time offenders,88
1,2016,Juveniles,02 Sexual offences,3 Unknown,All offenders,First time offenders,2
1,2017,Adults,07 Possession of weapons,2 Female,All offenders,First time offenders,252
1,2018,Adults,09 Miscellaneous crimes against society,3 Unknown,All offenders,First time offenders,140
1,2013,Adults,05 Criminal damage and arson,1 Male,All offenders,First time offenders,825
1,2017,Juveniles,02 Sexual offences,3 Unknown,All offenders,First time offenders,8
1,2011,Adults,06 Drug offences,1 Male,All offenders,First time offenders,13354
1,2019,Juveniles,05 Criminal damage and arson,1 Male,All offenders,First time offenders,178
1,2010,Adults,03 Robbery,2 Female,All offenders,First time offenders,35
1,2011,Adults,06 Drug offences,2 Female,All offenders,First time offenders,2700
1,2018,Juveniles,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,350
1,2011,Juveniles,10 Fraud offences,1 Male,All offenders,First time offenders,148
1,2011,Adults,08 Public order offences,2 Female,All offenders,First time offenders,464
1,2019,Juveniles,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,27
1,2012,Juveniles,04 Theft Offences,1 Male,All offenders,First time offenders,5139
1,2010,Adults,06 Drug offences,1 Male,All offenders,First time offenders,13590
1,2012,Adults,06 Drug offences,2 Female,All offenders,First time offenders,2420
1,2018,Juveniles,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,43
1,2012,Adults,08 Public order offences,2 Female,All offenders,First time offenders,408
1,2012,Adults,04 Theft Offences,3 Unknown,All offenders,First time offenders,123
1,2014,Adults,12 Summary motoring offences,2 Female,All offenders,First time offenders,5963
1,2017,Juveniles,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,455
1,2016,Adults,07 Possession of weapons,1 Male,All offenders,First time offenders,2018
1,2013,Juveniles,04 Theft Offences,1 Male,All offenders,First time offenders,3933
1,2020,Adults,01 Violence against the person,2 Female,All offenders,First time offenders,2332
1,2012,Adults,06 Drug offences,1 Male,All offenders,First time offenders,12606
1,2020,Juveniles,03 Robbery,2 Female,All offenders,First time offenders,37
1,2019,Juveniles,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,279
1,2011,Juveniles,04 Theft Offences,1 Male,All offenders,First time offenders,6894
1,2011,Juveniles,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,9831
1,2015,Adults,07 Possession of weapons,1 Male,All offenders,First time offenders,1831
1,2013,Adults,12 Summary motoring offences,1 Male,All offenders,First time offenders,18064
1,2017,Juveniles,08 Public order offences,2 Female,All offenders,First time offenders,65
1,2011,Juveniles,07 Possession of weapons,1 Male,All offenders,First time offenders,1219
1,2012,Adults,20 Unknown,1 Male,All offenders,First time offenders,7
1,2018,Adults,02 Sexual offences,1 Male,All offenders,First time offenders,2641
1,2010,Adults,10 Fraud offences,2 Female,All offenders,First time offenders,2163
1,2014,Juveniles,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,44
1,2018,Juveniles,08 Public order offences,2 Female,All offenders,First time offenders,80
1,2013,Adults,20 Unknown,1 Male,All offenders,First time offenders,4
1,2010,Juveniles,07 Possession of weapons,1 Male,All offenders,First time offenders,1324
1,2013,Juveniles,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,62
1,2013,Adults,06 Drug offences,2 Female,All offenders,First time offenders,2397
1,2012,Adults,20 Unknown,2 Female,All offenders,First time offenders,3
1,2018,Adults,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,25802
1,2020,Juveniles,10 Fraud offences,3 Unknown,All offenders,First time offenders,1
1,2010,Adults,08 Public order offences,2 Female,All offenders,First time offenders,539
1,2013,Adults,20 Unknown,2 Female,All offenders,First time offenders,4
1,2015,Adults,08 Public order offences,3 Unknown,All offenders,First time offenders,30
1,2017,Adults,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,28029
1,2018,Adults,01 Violence against the person,1 Male,All offenders,First time offenders,3916
1,2014,Juveniles,05 Criminal damage and arson,3 Unknown,All offenders,First time offenders,7
1,2019,Adults,04 Theft Offences,1 Male,All offenders,First time offenders,3938
1,2017,Adults,05 Criminal damage and arson,2 Female,All offenders,First time offenders,111
1,2018,Adults,05 Criminal damage and arson,2 Female,All offenders,First time offenders,103
1,2016,Adults,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,31792
1,2012,Juveniles,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,96
1,2015,Juveniles,10 Fraud offences,2 Female,All offenders,First time offenders,30
1,2015,Adults,20 Unknown,2 Female,All offenders,First time offenders,3
1,2016,Adults,08 Public order offences,3 Unknown,All offenders,First time offenders,29
1,2013,Juveniles,05 Criminal damage and arson,3 Unknown,All offenders,First time offenders,10
1,2020,Juveniles,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,25
1,2020,Adults,02 Sexual offences,1 Male,All offenders,First time offenders,1829
1,2010,Juveniles,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,12823
1,2015,Adults,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,36879
1,2010,Adults,09 Miscellaneous crimes against society,1 Male,All offenders,First time offenders,6893
1,2015,Adults,03 Robbery,3 Unknown,All offenders,First time offenders,1
1,2012,Juveniles,10 Fraud offences,2 Female,All offenders,First time offenders,71
1,2019,Adults,09 Miscellaneous crimes against society,3 Unknown,All offenders,First time offenders,127
1,2017,Adults,03 Robbery,3 Unknown,All offenders,First time offenders,3
1,2010,Juveniles,02 Sexual offences,2 Female,All offenders,First time offenders,13
1,2010,Juveniles,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,5199
1,2019,Adults,02 Sexual offences,1 Male,All offenders,First time offenders,2213
1,2014,Adults,20 Unknown,2 Female,All offenders,First time offenders,3
1,2014,Adults,11 Summary offences excluding motoring,1 Male,All offenders,First time offenders,39199
1,2016,Adults,03 Robbery,3 Unknown,All offenders,First time offenders,3
1,2013,Juveniles,10 Fraud offences,2 Female,All offenders,First time offenders,43
1,2016,Adults,05 Criminal damage and arson,2 Female,All offenders,First time offenders,139
1,2016,Juveniles,08 Public order offences,2 Female,All offenders,First time offenders,71
1,2016,Juveniles,07 Possession of weapons,3 Unknown,All offenders,First time offenders,18
1,2010,Juveniles,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,5
1,2012,Adults,10 Fraud offences,3 Unknown,All offenders,First time offenders,77
1,2017,Adults,04 Theft Offences,1 Male,All offenders,First time offenders,5698
1,2018,Juveniles,03 Robbery,1 Male,All offenders,First time offenders,486
1,2016,Juveniles,11 Summary offences excluding motoring,3 Unknown,All offenders,First time offenders,61
1,2012,Adults,12 Summary motoring offences,2 Female,All offenders,First time offenders,6647
1,2011,Adults,20 Unknown,2 Female,All offenders,First time offenders,1
1,2012,Juveniles,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,3180
1,2015,Juveniles,07 Possession of weapons,3 Unknown,All offenders,First time offenders,5
1,2018,Adults,04 Theft Offences,1 Male,All offenders,First time offenders,4644
1,2016,Adults,04 Theft Offences,1 Male,All offenders,First time offenders,7091
1,2017,Adults,01 Violence against the person,2 Female,All offenders,First time offenders,1927
1,2011,Adults,04 Theft Offences,3 Unknown,All offenders,First time offenders,75
1,2011,Juveniles,11 Summary offences excluding motoring,2 Female,All offenders,First time offenders,4383
1,2017,Juveniles,03 Robbery,1 Male,All offenders,First time offenders,467
1,2010,Adults,10 Fraud offences,3 Unknown,All offenders,First time offenders,68
1,2020,Juveniles,04 Theft Offences,3 Unknown,All offenders,First time offenders,14
1,2019,Adults,01 Violence against the person,1 Male,All offenders,First time offenders,4648
1,2013,Adults,08 Public order offences,3 Unknown,All offenders,First time offenders,14
